03/12 09:56:44.236/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
03/12 09:56:44.241/IST   WARN -       Config - Using Cost Limit Purchase pages
03/12 09:56:44.241/IST   INFO -   AllMarkets - version = 1
03/12 09:56:44.320/IST   INFO -        trace -    creating AllMarkets
03/12 09:56:45.152/IST   WARN - Configurator - No configuration found. Configuring ehcache from ehcache-failsafe.xml found in the classpath: jar:file:/mnt/SOLIDSTATE/predictionmarket2015/zocalo/zocalo_PRODUCTION_ENV/jars/ehcache-1.1.jar!/ehcache-failsafe.xml
03/12 09:56:46.063/IST   INFO -   AllMarkets -  opened port '30020'.  Browse to                    http://<<yourhost>>:30020/Welcome.jsp
03/12 09:56:46.063/IST   WARN - Session Config - 34# no RPC.server.enable property found in initialization file; defaulting to false
03/12 09:57:36.415/IST   WARN -    UserError - 35# told User(logging in) "Please type an account name and password".
03/12 10:02:40.344/IST   WARN -    UserError - 36# told User(logging in) "Please type an account name and password".
03/12 10:03:16.758/IST   WARN -    UserError - 37# told User(logging in) "<font color=red size=5><b>We've sent you a confirmation email. To activate your account, please follow the instructions in the email.</b></font>".
03/12 10:03:35.872/IST   WARN -    UserError - 38# told User(logging in) "Congratulations vicky! You're now done. Now Jump in!".
03/12 10:03:36.020/IST   WARN -    UserError - 39# told User(logging in) "Please type an account name and password".
03/12 10:05:56.284/IST   WARN -    UserError - 40# told vicky "market is closed.".
03/12 10:06:38.402/IST   WARN -    UserError - 41# told User(logging in) "Please type an account name and password".
03/12 10:14:22.938/IST   WARN -    UserError - 42# told vicky "price must be greater than 0 and less than 100.".
03/12 10:14:30.640/IST   WARN -    UserError - 43# told vicky "price must be greater than 0 and less than 100.".
03/12 10:15:02.828/IST   WARN -    UserError - 44# told vicky "price must be greater than 0 and less than 100.".
03/12 10:15:27.799/IST  DEBUG -      Trading - vicky wants to buy Ireland with limit of 25 @ 99.
03/12 10:15:27.811/IST   INFO -  PriceAction - 45# vicky traded with the market maker for 0 of World Cup Final:Sri Lanka changing the price from 14 to 0.1628
03/12 10:15:27.813/IST   INFO -  PriceAction - 46# vicky traded with the market maker for 0 of World Cup Final:South Africa changing the price from 14 to 0.1628
