04/07 04:11:49.332/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
04/07 04:11:49.335/IST   WARN -       Config - Using Cost Limit Purchase pages
04/07 04:11:49.394/IST   INFO -        trace -    creating AllMarkets
04/07 04:11:51.124/IST   INFO -   AllMarkets -  opened port '30000'.  Browse to                    http://<<yourhost>>:30000/Welcome.jsp
04/07 04:11:51.125/IST   WARN - Session Config - 34# no RPC.server.enable property found in initialization file; defaulting to false
04/07 04:11:58.960/IST   WARN -    UserError - 35# told User(logging in) "Please type an account name and password".
04/07 04:12:07.144/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:12:19.325/IST  DEBUG -      Trading - test1 wants to buy 5 with limit of 100 @ 25.
04/07 04:12:19.389/IST   INFO -  PriceAction - 630# test1 traded with the market maker for 0 of IPL11:7 changing the price from 5.1928 to 4.2459
04/07 04:12:19.393/IST   INFO -  PriceAction - 631# test1 traded with the market maker for 0 of IPL11:6 changing the price from 5.1777 to 4.2336
04/07 04:12:19.394/IST   INFO -  PriceAction - 632# test1 traded with the market maker for 21.051 of IPL11:5 changing the price from 8.2747 to 25
04/07 04:12:19.394/IST   INFO -  PriceAction - 633# test1 traded with the market maker for 0 of IPL11:1 changing the price from 18.1602 to 14.8488
04/07 04:12:19.394/IST   INFO -  PriceAction - 634# test1 traded with the market maker for 0 of IPL11:9 changing the price from 28.8915 to 23.6234
04/07 04:12:19.395/IST   INFO -  PriceAction - 635# test1 traded with the market maker for 0 of IPL11:3 changing the price from 11.2572 to 9.2045
04/07 04:12:19.395/IST   INFO -  PriceAction - 636# test1 traded with the market maker for 0 of IPL11:2 changing the price from 8.2368 to 6.7349
04/07 04:12:19.395/IST   INFO -  PriceAction - 637# test1 traded with the market maker for 0 of IPL11:4 changing the price from 5.8092 to 4.75
04/07 04:12:19.396/IST   INFO -  PriceAction - 638# test1 traded with the market maker for 0 of IPL11:8 changing the price from 9 to 7.3589
04/07 04:12:19.503/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:12:19.504/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:7: 4, IPL11:6: 4, IPL11:5: 25, IPL11:1: 15, IPL11:9: 24, IPL11:3: 9, IPL11:2: 7, IPL11:4: 5, IPL11:8: 7
04/07 04:12:19.505/IST   WARN -    UserError - 639# told test1 "Bought 21.051 from MarketMaker.".
04/07 04:12:19.643/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:12:34.190/IST  DEBUG -      Trading - test1 wants to buy 6 with limit of 100 @ 10.
04/07 04:12:34.239/IST   INFO -  PriceAction - 937# test1 traded with the market maker for 0 of IPL11:2 changing the price from 6.7349 to 6.3293
04/07 04:12:34.240/IST   INFO -  PriceAction - 938# test1 traded with the market maker for 0 of IPL11:3 changing the price from 9.2045 to 8.6503
04/07 04:12:34.240/IST   INFO -  PriceAction - 939# test1 traded with the market maker for 0 of IPL11:5 changing the price from 25 to 23.4947
04/07 04:12:34.240/IST   INFO -  PriceAction - 940# test1 traded with the market maker for 0 of IPL11:4 changing the price from 4.75 to 4.4639
04/07 04:12:34.240/IST   INFO -  PriceAction - 941# test1 traded with the market maker for 0 of IPL11:1 changing the price from 14.8488 to 13.9547
04/07 04:12:34.241/IST   INFO -  PriceAction - 942# test1 traded with the market maker for 0 of IPL11:8 changing the price from 7.3589 to 6.9158
04/07 04:12:34.241/IST   INFO -  PriceAction - 943# test1 traded with the market maker for 0 of IPL11:7 changing the price from 4.2459 to 3.9903
04/07 04:12:34.241/IST   INFO -  PriceAction - 944# test1 traded with the market maker for 0 of IPL11:9 changing the price from 23.6234 to 22.201
04/07 04:12:34.242/IST   INFO -  PriceAction - 945# test1 traded with the market maker for -12.263 of IPL11:6 changing the price from 4.2336 to 10
04/07 04:12:34.323/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:12:34.324/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:2: 6, IPL11:3: 9, IPL11:5: 23, IPL11:4: 4, IPL11:1: 14, IPL11:8: 7, IPL11:7: 4, IPL11:9: 22, IPL11:6: 10
04/07 04:12:34.324/IST   WARN -    UserError - 946# told test1 "Bought -12.263 from MarketMaker.".
04/07 04:12:34.425/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:18:29.123/IST  DEBUG -      Trading - test1 wants to buy 8 with limit of 100 @ 8.
04/07 04:18:29.151/IST   INFO -  PriceAction - 1253# test1 traded with the market maker for 0 of IPL11:1 changing the price from 13.9547 to 13.7922
04/07 04:18:29.151/IST   INFO -  PriceAction - 1254# test1 traded with the market maker for 0 of IPL11:6 changing the price from 10 to 9.8835
04/07 04:18:29.152/IST   INFO -  PriceAction - 1255# test1 traded with the market maker for 0 of IPL11:5 changing the price from 23.4947 to 23.221
04/07 04:18:29.152/IST   INFO -  PriceAction - 1256# test1 traded with the market maker for 0 of IPL11:3 changing the price from 8.6503 to 8.5495
04/07 04:18:29.153/IST   INFO -  PriceAction - 1257# test1 traded with the market maker for -2.379 of IPL11:8 changing the price from 6.9158 to 8
04/07 04:18:29.153/IST   INFO -  PriceAction - 1258# test1 traded with the market maker for 0 of IPL11:7 changing the price from 3.9903 to 3.9438
04/07 04:18:29.153/IST   INFO -  PriceAction - 1259# test1 traded with the market maker for 0 of IPL11:2 changing the price from 6.3293 to 6.2556
04/07 04:18:29.153/IST   INFO -  PriceAction - 1260# test1 traded with the market maker for 0 of IPL11:4 changing the price from 4.4639 to 4.412
04/07 04:18:29.154/IST   INFO -  PriceAction - 1261# test1 traded with the market maker for 0 of IPL11:9 changing the price from 22.201 to 21.9424
04/07 04:18:29.264/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:18:29.265/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:1: 14, IPL11:6: 10, IPL11:5: 23, IPL11:3: 9, IPL11:8: 8, IPL11:7: 4, IPL11:2: 6, IPL11:4: 4, IPL11:9: 22
04/07 04:18:29.266/IST   WARN -    UserError - 1586# told test1 "Bought -2.379 from MarketMaker.".
04/07 04:18:29.386/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:18:52.461/IST  DEBUG -      Trading - test1 wants to buy 9 with limit of 100 @ 25.
