04/10 08:02:24.717/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
04/10 08:02:24.720/IST   WARN -       Config - Using Cost Limit Purchase pages
04/10 08:02:24.778/IST   INFO -        trace -    creating AllMarkets
04/10 08:02:26.723/IST   INFO -   AllMarkets -  opened port '30020'.  Browse to                    http://<<yourhost>>:30020/Welcome.jsp
04/10 08:02:26.723/IST   WARN - Session Config - 34# no RPC.server.enable property found in initialization file; defaulting to false
04/10 08:02:51.364/IST   WARN -    UserError - 35# told User(logging in) "Please type an account name and password".
04/10 08:02:59.363/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:03:05.709/IST   WARN -    UserError - 369# told User(logging in) "Please type an account name and password".
04/10 08:03:23.778/IST  DEBUG -      Trading - test2 wants to buy Deccan Chargers with limit of 25 @ 89.
04/10 08:03:23.795/IST   INFO -  PriceAction - 532# test2 traded with the market maker for 0 of IPL2012:Royal Challengers Bangalore changing the price from 26.7271 to 24.0547
04/10 08:03:23.804/IST   INFO -  PriceAction - 533# test2 traded with the market maker for 0 of IPL2012:Delhi Daredevils changing the price from 1.4964 to 1.3468
04/10 08:03:23.805/IST   INFO -  PriceAction - 534# test2 traded with the market maker for 0 of IPL2012:Mumbai Indians changing the price from 1.3717 to 1.2346
04/10 08:03:23.805/IST   INFO -  PriceAction - 535# test2 traded with the market maker for 56.444 of IPL2012:Deccan Chargers changing the price from 4.5231 to 14.0699
04/10 08:03:23.806/IST   INFO -  PriceAction - 536# test2 traded with the market maker for 0 of IPL2012:Rajasthan Royals changing the price from 6.8229 to 6.1407
04/10 08:03:23.806/IST   INFO -  PriceAction - 537# test2 traded with the market maker for 0 of IPL2012:Pune Warriors India changing the price from 9.809 to 8.8282
04/10 08:03:23.807/IST   INFO -  PriceAction - 538# test2 traded with the market maker for 0 of IPL2012:Chennai Super Kings changing the price from 1.4069 to 1.2662
04/10 08:03:23.807/IST   INFO -  PriceAction - 539# test2 traded with the market maker for 0 of IPL2012:Kolkata Knight Riders changing the price from 30 to 27.0003
04/10 08:03:23.808/IST   INFO -  PriceAction - 540# test2 traded with the market maker for 0 of IPL2012:Kings XI Punjab changing the price from 17.8429 to 16.0588
04/10 08:03:23.977/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:03:23.977/IST   INFO -  PriceChange - prices in market 'IPL2012' changed.  IPL2012:Royal Challengers Bangalore: 24, IPL2012:Delhi Daredevils: 1, IPL2012:Mumbai Indians: 1, IPL2012:Deccan Chargers: 14, IPL2012:Rajasthan Royals: 6, IPL2012:Pune Warriors India: 9, IPL2012:Chennai Super Kings: 1, IPL2012:Kolkata Knight Riders: 27, IPL2012:Kings XI Punjab: 16
04/10 08:03:23.978/IST   WARN -    UserError - 541# told test2 "Bought 56.444 shares of the team.".
04/10 08:03:24.094/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:03:38.146/IST  DEBUG -      Trading - test2 wants to liquidate Kings XI Punjab
04/10 08:03:38.161/IST   INFO -  PriceAction - 713# test2 traded with the market maker for 0 of IPL2012:Royal Challengers Bangalore changing the price from 24.0547 to 28.2412
04/10 08:03:38.161/IST   INFO -  PriceAction - 714# test2 traded with the market maker for 0 of IPL2012:Kolkata Knight Riders changing the price from 27.0003 to 31.6995
04/10 08:03:38.162/IST   INFO -  PriceAction - 715# test2 traded with the market maker for 0 of IPL2012:Mumbai Indians changing the price from 1.2346 to 1.4494
04/10 08:03:38.162/IST   INFO -  PriceAction - 716# test2 traded with the market maker for 0 of IPL2012:Chennai Super Kings changing the price from 1.2662 to 1.4866
04/10 08:03:38.162/IST   INFO -  PriceAction - 717# test2 traded with the market maker for 0 of IPL2012:Delhi Daredevils changing the price from 1.3468 to 1.5812
04/10 08:03:38.163/IST   INFO -  PriceAction - 718# test2 traded with the market maker for 0 of IPL2012:Pune Warriors India changing the price from 8.8282 to 10.3646
